question,answer
¿Cuál es el objeto de la presente ley?,"El objeto de la presente ley es regular el bitcoin como moneda de curso legal en El Salvador, permitiendo su uso irrestricto en cualquier transacción y a cualquier título que las personas naturales o jurídicas requieran realizar. Además, busca establecer el tipo de cambio entre el bitcoin y el dólar de los Estados Unidos de América de manera libre, permitir que los precios sean expresados en bitcoin, que las contribuciones tributarias puedan ser pagadas en bitcoin y que los intercambios en bitcoin no estén sujetos a impuestos sobre las ganancias de capital. También se establece que para fines contables se utilizará el dólar como moneda de referencia y que todo agente económico debe aceptar el bitcoin como forma de pago cuando le sea ofrecido. El Estado se compromete a proveer alternativas que permitan a los usuarios llevar a cabo transacciones en bitcoin, así como contar con la convertibilidad automática e instantánea de bitcoin a dólar. Además, se crea la estructura institucional necesaria para la aplicación de la ley y se establecen disposiciones finales y transitorias."
¿Qué establece el artículo 2 de la ley?,El artículo 2 de la ley establece que el tipo de cambio entre el bitcoin y el dólar de los Estados Unidos de América será establecido libremente por el mercado.
¿En qué moneda se expresarán los precios?,Los precios se expresarán en bitcoin.
¿Qué contribuciones tributarias podrán ser pagadas en bitcoin?,"Según el contexto proporcionado, todas las contribuciones tributarias podrán ser pagadas en bitcoin."
¿Están sujetos los intercambios en bitcoin a impuestos sobre las ganancias de capital?,"Según el contexto proporcionado, los intercambios en bitcoin no estarán sujetos a impuestos sobre las ganancias de capital, al igual que cualquier moneda de curso legal en El Salvador."
¿Qué moneda se utilizará para fines contables?,La moneda que se utilizará para fines contables es el dólar de los Estados Unidos de América.
¿Quiénes deben aceptar bitcoin como forma de pago?,"Según el contexto proporcionado, todas las personas naturales o jurídicas, ya sean públicas o privadas, deben aceptar bitcoin como forma de pago cuando les sea ofrecido por alguien que adquiere un bien o servicio."
¿Qué alternativas proveerá el Estado para llevar a cabo transacciones en bitcoin?,"El Estado proveerá alternativas para llevar a cabo transacciones en bitcoin, así como contar con convertibilidad automática e instantánea de bitcoin a dólar en caso de que el usuario lo desee. Además, el Estado promoverá la capacitación y mecanismos necesarios para que la población pueda acceder a transacciones en bitcoin. Las limitaciones y funcionamiento de estas alternativas serán especificadas en el Reglamento correspondiente."
¿Quién creará la estructura institucional necesaria para aplicar la presente ley?,El Órgano Ejecutivo creará la estructura institucional necesaria para aplicar la presente ley.
¿Quiénes emitirán la normativa correspondiente a la presente ley?,El Banco Central de Reserva y la Superintendencia del Sistema Financiero emitirán la normativa correspondiente a la presente ley.
¿Quiénes quedan excluidos de la obligación de aceptar bitcoin como forma de pago?,"De acuerdo con el contexto proporcionado, aquellos que no tienen acceso a las tecnologías que permiten ejecutar transacciones en bitcoin quedan excluidos de la obligación de aceptar bitcoin como forma de pago."
¿Qué garantizará el Estado antes de la entrada en vigencia de la ley?,"Antes de la entrada en vigencia de la ley, el Estado garantizará la convertibilidad automática e instantánea de bitcoin a dólar a través de la creación de un fideicomiso en el Banco de Desarrollo de El Salvador BANDESAL."
¿Cuándo entrará en vigencia el presente decreto?,El presente decreto entrará en vigencia noventa días después de su publicación en el Diario Oficial.
¿Cuál es la ley que se menciona en el texto de entrada?,En el texto de entrada no se menciona ninguna ley específica.
¿Cuál es el país mencionado en el texto de entrada?,El país mencionado en el texto de entrada es El Salvador.
¿Quiénes son los funcionarios mencionados en el texto de entrada?,"Los funcionarios mencionados en el texto de entrada son:

- Ernesto Alfredo Castro Aldana, Presidente.
- Suecy Beverley Callejas Estrada, Primera Vicepresidenta.
- Rodrigo Javier Ayala Claros, Segundo Vicepresidente.
- Guillermo Antonio Gallegos Navarrete, Tercer Vicepresidente.
- Elisa Marcela Rosales Ramírez, Primera Secretaria.
- Numan Pompilio Salgado García, Segundo Secretario.
- José Serafín Orantes Rodríguez, Tercer Secretario.
- Reinaldo Alcides Carballo Carballo, Cuarto Secretario."
¿Cuál es la fecha mencionada en el texto de entrada?,"La fecha mencionada en el texto de entrada es ""a los nueve días del mes de junio de dos mil veintiuno""."
¿Quién es el presidente de la República?,El presidente de la República es Nayib Armando Bukele Ortez.
¿Quién es la ministra de Economía?,La ministra de Economía es María Luisa Hayem Brève.
